time,gFx,gFy,gFz,TgF
0.941657345,-0.3682,0.8670,0.2746,0.981
0.944801922,-0.3691,0.8680,0.2744,0.982
0.945541114,-0.3694,0.8678,0.2756,0.983
0.948584153,-0.3696,0.8675,0.2783,0.983
0.949445191,-0.3699,0.8678,0.2805,0.984
0.952401383,-0.3711,0.8688,0.2829,0.986
0.95417073,-0.3723,0.8688,0.2863,0.988
0.956732768,-0.3735,0.8680,0.2905,0.989
0.957480768,-0.3748,0.8683,0.2937,0.990
0.959951845,-0.3765,0.8692,0.2963,0.993
0.966287691,-0.3777,0.8690,0.3003,0.994
0.967329499,-0.3804,0.8670,0.3059,0.995
0.967754768,-0.3809,0.8646,0.3098,0.994
0.968117076,-0.3816,0.8631,0.3147,0.995
0.969642576,-0.3833,0.8629,0.3193,0.997
0.972569037,-0.3855,0.8622,0.3225,0.998
0.973476614,-0.3880,0.8617,0.3259,1.000
0.976474345,-0.3899,0.8614,0.3283,1.001
0.981254922,-0.3904,0.8607,0.3305,1.001
0.982217576,-0.3911,0.8609,0.3325,1.002
0.98297473,-0.3924,0.8619,0.3332,1.004
0.983627345,-0.3926,0.8622,0.3345,1.005
0.985822807,-0.3924,0.8626,0.3369,1.006
0.98763496,-0.3924,0.8634,0.3389,1.007
0.989630037,-0.3924,0.8644,0.3411,1.009
0.99164723,-0.3921,0.8656,0.3430,1.010
0.994858653,-0.3919,0.8668,0.3437,1.011
0.995811576,-0.3916,0.8678,0.3440,1.012
0.997425383,-0.3911,0.8692,0.3447,1.014
1.000225653,-0.3899,0.8707,0.3457,1.015
1.002204922,-0.3877,0.8724,0.3447,1.015
1.004242422,-0.3848,0.8736,0.3425,1.014
1.006270537,-0.3811,0.8749,0.3408,1.013
1.008440191,-0.3765,0.8763,0.3398,1.013
1.010419037,-0.3716,0.8766,0.3391,1.011
1.012447768,-0.3672,0.8761,0.3384,1.008
1.01350923,-0.3626,0.8766,0.3384,1.007
1.016421307,-0.3594,0.8768,0.3391,1.006
1.017640153,-0.3564,0.8771,0.3398,1.006
1.020491268,-0.3533,0.8775,0.3406,1.005
1.022494845,-0.3491,0.8778,0.3398,1.004
1.023271307,-0.3447,0.8766,0.3369,1.000
1.02620396,-0.3398,0.8739,0.3340,0.995
1.028148576,-0.3354,0.8710,0.3308,0.990
1.029627153,-0.3315,0.8675,0.3276,0.985
1.032137922,-0.3276,0.8639,0.3244,0.979
1.033848845,-0.3232,0.8600,0.3222,0.974
1.036310922,-0.3208,0.8570,0.3191,0.969
1.038225576,-0.3203,0.8551,0.3142,0.966
1.040264153,-0.3205,0.8524,0.3100,0.962
1.041737883,-0.3220,0.8502,0.3061,0.959
1.044303268,-0.3249,0.8492,0.3025,0.958
1.046549768,-0.3286,0.8490,0.2990,0.958
1.048626537,-0.3323,0.8490,0.2963,0.959
1.049863076,-0.3367,0.8487,0.2932,0.959
1.05275323,-0.3420,0.8487,0.2902,0.960
1.053614537,-0.3489,0.8480,0.2890,0.961
